,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Survived
444,1,0,34.0,0,0,1
445,3,1,5.0,2,1,1
446,1,0,52.0,0,0,1
447,2,0,36.0,1,2,0
448,3,0,28.0,1,0,0
449,1,0,30.0,0,0,0
450,1,0,49.0,1,0,1
451,3,0,24.0,0,0,0
452,3,0,29.0,0,0,1
453,1,0,65.0,0,0,0
454,1,1,41.0,1,0,1
455,2,1,50.0,0,0,1
456,3,0,17.0,0,0,0
457,1,0,48.0,0,0,1
458,3,0,34.0,0,0,0
459,1,0,47.0,0,0,0
460,2,0,48.0,0,0,0
461,3,0,34.0,0,0,0
462,3,0,38.0,0,0,0
463,2,0,21.0,0,0,0
464,1,0,56.0,0,0,0
465,3,0,22.0,0,0,0
466,3,1,0.75,2,1,1
467,3,0,39.0,0,0,0
468,3,0,38.0,0,0,0
469,2,1,33.0,1,2,1
470,2,1,23.0,0,0,1
471,3,1,22.0,0,0,0
472,1,0,40.0,0,0,0
473,2,0,34.0,1,0,0
474,3,0,29.0,1,0,0
475,3,0,22.0,0,0,0
476,3,1,2.0,0,1,1
477,3,0,9.0,5,2,0
478,2,0,37.0,0,0,0
479,3,0,50.0,0,0,0
480,3,1,63.0,0,0,1
481,1,0,25.0,1,0,1
482,3,1,8.0,3,1,0
483,1,1,35.0,1,0,1
484,1,0,58.0,0,0,0
485,3,0,30.0,0,0,0
486,3,0,9.0,1,1,1
487,3,0,19.0,1,0,0
488,3,0,21.0,0,0,0
489,1,0,55.0,0,0,0
490,1,0,71.0,0,0,0
491,3,0,21.0,0,0,0
492,3,0,26.0,0,0,0
493,1,1,54.0,1,0,1
494,3,0,55.0,0,0,0
495,1,1,25.0,1,2,0
496,3,0,24.0,0,0,0
497,3,0,17.0,0,0,0
498,3,1,21.0,0,0,0
499,3,1,21.0,0,0,0
500,3,1,37.0,0,0,0
501,1,1,16.0,0,0,1
502,1,0,18.0,1,0,0
503,2,1,33.0,0,2,1
504,1,0,37.0,0,0,1
505,3,0,28.0,0,0,0
506,3,0,26.0,0,0,1
507,3,0,29.0,0,0,1
508,3,0,66.0,0,0,0
509,1,0,36.0,0,0,1
510,1,1,54.0,1,0,1
511,3,0,24.0,0,0,0
512,1,0,47.0,0,0,0
513,2,1,34.0,0,0,1
514,3,0,30.0,0,0,0
515,2,1,36.0,1,0,1
516,3,0,32.0,0,0,0
517,1,1,30.0,0,0,1
518,3,0,22.0,0,0,0
519,3,0,35.0,0,0,0
520,1,1,44.0,0,1,1
521,3,0,18.0,0,0,0
522,3,0,40.5,0,0,0
523,2,1,50.0,0,0,1
524,1,0,49.0,0,0,0
525,3,0,39.0,0,0,0
526,2,0,23.0,2,1,0
527,2,1,2.0,1,1,1
528,3,0,17.0,0,0,0
529,3,0,17.0,1,1,0
530,3,1,24.0,0,2,1
531,3,1,30.0,0,0,0
532,2,1,7.0,0,2,1
533,1,0,45.0,0,0,0
534,1,1,30.0,0,0,1
535,3,0,69.0,0,0,0
536,1,1,22.0,0,2,1
537,1,1,36.0,0,2,1
538,3,1,9.0,4,2,0
539,3,1,11.0,4,2,0
540,2,0,32.0,1,0,1
541,1,0,50.0,1,0,0
542,1,0,64.0,0,0,0
543,2,1,19.0,1,0,1
544,2,0,27.0,0,0,1
545,3,0,33.0,1,1,0
546,2,0,8.0,1,1,1
547,1,0,17.0,0,2,1
548,2,0,27.0,0,0,0
549,3,0,21.0,0,0,0
550,3,0,22.0,0,0,1
551,3,1,22.0,0,0,1
552,1,0,62.0,0,0,0
553,1,1,48.0,1,0,1
554,1,0,45.0,0,0,0
555,1,1,39.0,1,1,1
556,3,1,36.0,1,0,1
557,3,0,30.0,0,0,0
558,3,0,40.0,0,0,0
559,2,0,28.0,0,0,0
560,3,0,40.0,0,0,0
561,3,1,62.0,0,0,0
562,3,0,24.0,2,0,0
563,3,0,19.0,0,0,0
564,3,1,29.0,0,4,0
565,3,0,28.0,0,0,0
566,3,0,32.0,0,0,1
567,2,0,62.0,0,0,1
568,1,1,53.0,2,0,1
569,1,0,36.0,0,0,1
570,3,1,22.0,0,0,1
571,3,0,16.0,0,0,0
572,3,0,19.0,0,0,0
573,2,1,34.0,0,0,1
574,1,1,39.0,1,0,1
575,3,1,18.0,1,0,0
576,3,0,32.0,0,0,1
577,2,1,25.0,1,1,1
578,1,1,39.0,1,1,1
579,2,0,54.0,0,0,0
580,1,0,36.0,0,0,0
581,3,0,16.0,0,0,0
582,1,1,18.0,0,2,1
583,2,0,47.0,0,0,0
584,1,0,60.0,1,1,1
585,3,0,22.0,0,0,0
586,3,0,22.0,0,0,0
587,3,0,35.0,0,0,0
588,1,1,52.0,1,0,1
589,3,0,47.0,0,0,0
590,3,1,40.0,0,2,0
591,2,0,37.0,1,0,0
592,3,0,36.0,1,1,0
593,2,1,31.0,0,0,1
594,3,0,49.0,0,0,0
595,3,0,18.0,0,0,0
596,1,0,49.0,1,0,1
597,2,1,24.0,2,1,1
598,3,0,42.0,0,0,0
599,1,0,37.0,0,0,0
600,3,0,44.0,0,0,0
601,1,0,35.0,0,0,1
602,3,0,36.0,1,0,0
603,3,0,30.0,0,0,0
604,1,0,27.0,0,0,1
605,2,1,22.0,1,2,1
606,1,1,40.0,0,0,1
607,3,1,39.0,1,5,0
608,3,0,21.0,0,0,0
609,3,1,18.0,1,0,1
610,3,0,22.0,0,0,0
611,3,0,35.0,0,0,0
612,2,1,24.0,1,2,1
613,3,0,34.0,1,1,0
614,3,1,26.0,1,0,0
615,2,1,4.0,2,1,1
616,2,0,26.0,0,0,0
617,3,0,27.0,1,0,0
618,1,0,42.0,1,0,1
619,3,0,20.0,1,1,1
620,3,0,21.0,0,0,0
621,3,0,21.0,0,0,0
622,1,0,61.0,0,0,0
623,2,0,57.0,0,0,0
624,1,1,21.0,0,0,1
625,3,0,26.0,0,0,0
626,3,0,18.0,0,0,0
627,1,0,80.0,0,0,1
628,3,0,51.0,0,0,0
629,1,0,32.0,0,0,1
630,1,0,30.0,0,0,0
631,3,1,9.0,3,2,0
632,2,1,28.0,0,0,1
633,3,0,32.0,0,0,0
634,2,0,31.0,1,1,0
635,3,1,41.0,0,5,0
636,3,0,37.0,1,0,0
637,3,0,20.0,0,0,0
638,1,1,24.0,0,0,1
639,3,1,2.0,3,2,0
640,3,0,32.0,0,0,1
641,3,1,0.75,2,1,1
642,1,0,48.0,1,0,1
643,3,0,19.0,0,0,0
644,1,0,56.0,0,0,1
645,3,0,21.0,0,0,0
646,3,1,23.0,0,0,1
647,3,0,23.0,0,0,0
648,2,1,18.0,0,1,1
649,3,0,21.0,0,0,0
650,3,1,16.0,0,0,1
651,3,1,18.0,0,0,0
652,2,0,24.0,2,0,0
653,3,0,27.0,0,0,0
654,3,1,32.0,1,1,0
655,2,0,23.0,0,0,0
656,1,0,58.0,0,2,0
657,1,0,50.0,2,0,1
658,3,0,40.0,0,0,0
659,1,0,47.0,0,0,0
660,3,0,36.0,0,0,0
661,3,0,20.0,1,0,1
662,2,0,32.0,2,0,0
663,2,0,25.0,0,0,0
664,3,0,49.0,0,0,0
665,3,0,43.0,0,0,0
666,1,1,48.0,1,0,1
667,2,1,40.0,1,1,1
668,1,0,31.0,1,0,0
669,2,0,70.0,0,0,0
670,2,0,31.0,0,0,1
671,2,0,19.0,0,0,0
672,3,0,18.0,0,0,0
673,3,0,24.5,0,0,0
674,3,1,18.0,0,0,1
675,3,1,43.0,1,6,0
676,1,0,36.0,0,1,1
677,3,1,28.0,0,0,0
678,1,0,27.0,0,0,1
679,3,0,20.0,0,0,0
680,3,0,14.0,5,2,0
681,2,0,60.0,1,1,0
682,2,0,25.0,1,2,0
683,3,0,14.0,4,1,0
684,3,0,19.0,0,0,0
685,3,0,18.0,0,0,0
686,1,1,15.0,0,1,1
687,1,0,31.0,1,0,1
688,3,1,4.0,0,1,1
689,3,0,37.0,0,0,1
690,3,0,25.0,0,0,0
691,1,0,60.0,0,0,0
692,2,0,52.0,0,0,0
693,3,0,44.0,0,0,0
694,3,1,19.0,0,0,1
695,1,0,49.0,1,1,0
696,3,0,42.0,0,0,0
697,1,1,18.0,1,0,1
698,1,0,35.0,0,0,1
699,3,1,18.0,0,1,0
700,3,0,25.0,0,0,0
701,3,0,26.0,1,0,0
702,2,0,39.0,0,0,0
703,2,1,45.0,0,0,1
704,1,0,42.0,0,0,1
705,1,1,22.0,0,0,1
706,3,0,4.0,1,1,1
707,1,1,24.0,0,0,1
708,1,0,41.0,0,0,0
709,1,0,48.0,1,0,1
710,3,0,29.0,0,0,0
711,2,0,52.0,0,0,0
712,3,0,19.0,0,0,0
713,1,1,38.0,0,0,1
714,2,1,27.0,0,0,1
715,3,0,33.0,0,0,0
716,2,1,6.0,0,1,1
717,3,0,17.0,1,0,0
718,2,0,34.0,0,0,0
719,2,0,50.0,0,0,0
720,1,0,27.0,1,0,1
721,3,0,20.0,0,0,0
722,2,1,30.0,3,0,1
723,3,1,28.0,0,0,1
724,2,0,25.0,1,0,0
725,3,1,25.0,1,0,0
726,1,1,29.0,0,0,1
727,3,0,11.0,0,0,0
728,2,0,41.0,0,0,0
729,2,0,23.0,0,0,0
730,2,0,23.0,0,0,0
731,3,0,28.5,0,0,0
732,3,1,48.0,1,3,0
733,1,0,35.0,0,0,1
734,3,0,20.0,0,0,0
735,3,0,32.0,0,0,0
736,1,0,45.0,0,0,1
737,1,0,36.0,1,0,0
738,1,1,21.0,2,2,1
739,3,0,24.0,1,0,0
740,3,0,31.0,0,0,1
741,1,0,70.0,1,1,0
742,3,0,16.0,1,1,0
743,2,1,30.0,0,0,1
744,1,0,19.0,1,0,0
745,3,0,31.0,0,0,0
746,2,1,4.0,1,1,1
747,3,0,6.0,0,1,1
748,3,0,33.0,0,0,0
749,3,0,23.0,0,0,0
750,2,1,48.0,1,2,1
751,2,0,0.67,1,1,1
752,3,0,28.0,0,0,0
753,2,0,18.0,0,0,0
754,3,0,34.0,0,0,0
755,1,1,33.0,0,0,1
756,3,0,23.0,0,0,0
757,3,0,41.0,0,0,0
758,3,0,20.0,0,0,1
759,1,1,36.0,1,2,1
760,3,0,16.0,0,0,0
761,1,1,51.0,1,0,1
762,1,0,46.0,0,0,0
763,3,1,30.5,0,0,0
764,3,0,28.0,1,0,0
765,3,0,32.0,0,0,0
766,3,0,24.0,0,0,0
767,3,0,48.0,0,0,0
768,2,1,57.0,0,0,0
769,3,0,29.0,0,0,0
770,2,1,54.0,1,3,1
771,3,0,18.0,0,0,0
772,3,0,20.0,0,0,0
773,3,1,5.0,0,0,1
774,3,0,22.0,0,0,0
775,1,1,43.0,0,1,1
776,3,1,13.0,0,0,1
777,1,1,17.0,1,0,1
778,1,0,29.0,0,0,0
779,3,0,35.0,1,2,0
780,3,0,25.0,0,0,0
781,3,0,25.0,0,0,0
782,3,1,18.0,0,0,1
783,3,0,8.0,4,1,0
784,3,0,1.0,1,2,1
785,1,0,46.0,0,0,0
786,3,0,20.0,0,0,0
787,2,0,16.0,0,0,0
788,3,1,21.0,8,2,0
789,1,0,43.0,0,0,0
790,3,0,25.0,0,0,0
791,2,0,39.0,0,0,0
792,1,1,49.0,0,0,1
793,3,1,31.0,0,0,1
794,3,0,30.0,0,0,0
795,3,1,30.0,1,1,0
796,2,0,34.0,0,0,0
797,2,1,31.0,1,1,1
798,1,0,11.0,1,2,1
799,3,0,0.42,0,1,1
800,3,0,27.0,0,0,1
801,3,0,31.0,0,0,0
802,1,0,39.0,0,0,0
803,3,1,18.0,0,0,0
804,2,0,39.0,0,0,0
805,1,1,33.0,1,0,1
806,3,0,26.0,0,0,0
807,3,0,39.0,0,0,0
808,2,0,35.0,0,0,0
809,3,1,6.0,4,2,0
810,3,0,30.5,0,0,0
811,1,0,39.0,0,0,0
812,3,1,23.0,0,0,0
813,2,0,31.0,1,1,0
814,3,0,43.0,0,0,0
815,3,0,10.0,3,2,0
816,1,1,52.0,1,1,1
817,3,0,27.0,0,0,1
818,1,0,38.0,0,0,0
819,3,1,27.0,0,1,1
820,3,0,2.0,4,1,0
821,3,0,36.0,0,0,0
822,3,0,23.0,0,0,0
823,2,0,1.0,0,2,1
824,3,0,19.0,0,0,1
825,1,1,62.0,0,0,1
826,3,1,15.0,1,0,1
827,2,0,0.83,1,1,1
828,3,0,30.0,0,0,0
829,3,0,23.0,0,0,0
830,3,0,18.0,0,0,0
831,1,1,39.0,1,1,1
832,3,0,21.0,0,0,0
833,3,0,20.0,0,0,0
834,3,0,32.0,0,0,1
835,1,0,29.0,0,0,1
836,3,0,20.0,0,0,0
837,2,0,16.0,0,0,0
838,1,1,30.0,0,0,1
839,3,0,34.5,0,0,0
840,3,0,17.0,0,0,0
841,3,0,42.0,0,0,0
842,3,0,18.0,8,2,0
843,3,0,35.0,0,0,0
844,2,0,28.0,0,1,0
845,1,1,40.0,1,0,1
846,3,0,4.0,4,2,0
847,3,0,74.0,0,0,0
848,3,1,9.0,1,1,0
849,1,1,16.0,0,1,1
850,2,1,44.0,1,0,0
851,3,1,18.0,0,1,1
852,1,1,45.0,1,1,1
853,1,0,51.0,0,0,1
854,3,1,24.0,0,3,1
855,3,0,30.0,0,0,0
856,3,0,41.0,2,0,0
857,2,0,21.0,1,0,0
858,1,1,48.0,0,0,1
859,3,1,14.0,8,2,0
860,2,0,24.0,0,0,0
861,2,1,42.0,0,0,1
862,2,1,27.0,1,0,1
863,1,0,31.0,0,0,0
864,3,0,23.0,0,0,0
865,3,0,4.0,1,1,1
866,3,0,26.0,0,0,0
867,1,1,47.0,1,1,1
868,1,0,33.0,0,0,0
869,3,0,47.0,0,0,0
870,2,1,28.0,1,0,1
871,3,1,15.0,0,0,1
872,3,0,20.0,0,0,0
873,3,0,19.0,0,0,0
874,3,0,23.0,0,0,0
875,1,1,56.0,0,1,1
876,2,1,25.0,0,1,1
877,3,0,33.0,0,0,0
878,3,1,22.0,0,0,0
879,2,0,28.0,0,0,0
880,3,0,25.0,0,0,0
881,3,1,39.0,0,5,0
882,2,0,27.0,0,0,0
883,1,1,19.0,0,0,1
884,3,1,7.0,1,2,0
885,1,0,26.0,0,0,1
886,3,0,32.0,0,0,0
